database,tableName,isTemporary
silver,dim_agent_team3,False
silver,dim_agent_team_1,False
silver,dim_agent_team_2,False
silver,dim_agent_team_4,False
silver,dim_airport_team3,False
silver,dim_airport_team_2,False
silver,dim_airport_team_4,False
silver,dim_booking_class_team3,False
silver,dim_booking_class_team_2,False
silver,dim_bookingclass_team_1,False
silver,dim_carrier_team3,False
silver,dim_carrier_team_1,False
silver,dim_carrier_team_2,False
silver,dim_carrier_team_4,False
silver,dim_city_team3,False
silver,dim_city_team_2,False
silver,dim_currency_team_4,False
silver,dim_date_team3,False
silver,dim_date_team_1,False
silver,dim_date_team_2,False
silver,dim_date_team_4,False
silver,dim_document_type_team_4,False
silver,dim_exchange_rate_team3,False
silver,dim_exchange_rate_team_1,False
silver,dim_exchange_rate_team_2,False
silver,dim_exchange_rate_team_4,False
silver,dim_flight_team3,False
silver,dim_payment_method_team_4,False
silver,dim_payment_team_1,False
silver,dim_route_team_1,False
silver,dim_tax_team3,False
silver,dim_tax_team_1,False
silver,dim_tax_team_2,False
silver,dim_tax_team_4,False
silver,dim_travel_class_team_4,False
silver,exc_sales_coupon_tax_mismatch_team3,False
silver,exc_sales_tax_mismatch_team_4,False
silver,fact_billing_team_1,False
silver,fact_credit_card_settlement_team_1,False
silver,fact_flight_uplift_team_1,False
silver,fact_inward_team3,False
silver,fact_inward_team_4,False
silver,fact_sales_coupon_team3,False
silver,fact_settlement_team3,False
silver,fact_ticket_sales_team_1,False
silver,fact_ticket_sales_team_4,False
silver,fact_uplift_team3,False
silver,fact_uplift_team_4,False
silver,fact_watermark_team_4,False
