Route,Carrier_Name,Carrier_Code,month_num,month_name,quarter_label,year,Total_Tickets_Sold,Revenue_AED,Net_Revenue_AED,Total_Commission_AED,Total_Discount_AED,Total_Tax_AED,Avg_Fare_AED,Revenue_Rank
DXB-MEL,Star Air,XX,7,July,Q3,2024,975,3544906.0,3279765.64,212694.36,52446.0,658996.86,3635.8,1
BNE-DXB,Star Air,XX,7,July,Q3,2024,1896,3158468.58155,2922499.3570818,189508.114893,46461.109546,575513.70486173,1665.86,2
DXB-BNE,Star Air,XX,7,July,Q3,2024,1893,3134389.0,2896060.66,188063.34,50265.0,566973.25,1655.78,3
DXB-SYD,Star Air,XX,7,July,Q3,2024,1323,2941829.0,2721256.26,176509.74,44063.0,540895.39,2223.6,4
MEL-DXB,Star Air,XX,7,July,Q3,2024,686,2608713.56718,2418216.7733012,156522.8140308,33973.979851,479923.109138,3802.79,5
SYD-DXB,Star Air,XX,7,July,Q3,2024,1040,2366209.963558,2191035.5525824,141972.59781348,33201.813157,424445.40742869,2275.2,6
DXB-ORD,Star Air,XX,7,July,Q3,2024,660,2099916.0,1940257.04,125994.96,33664.0,229995.11,3181.69,7
DXB-YUL,Star Air,XX,7,July,Q3,2024,2352,2025164.0,1874215.16,121509.84,29439.0,200847.78,861.04,8
YUL-DXB,Star Air,XX,7,July,Q3,2024,2278,1963027.607509,1812602.3289772,117781.65645054,32643.62212,198485.3677133,861.73,9
BKK-DXB,Star Air,XX,7,July,Q3,2024,680,1230909.718679,1136735.4573216,73854.58312074,20319.678236,247288.50651877,1810.16,10
SIN-DXB,Star Air,XX,7,July,Q3,2024,958,1207700.875319,1116828.0373489,72462.05251914,18410.78544,142317.14806246,1260.65,11
DXB-BKK,Star Air,XX,7,July,Q3,2024,631,1206582.0,1120012.08,72394.92,14175.0,239442.95,1912.17,12
YYZ-DXB,Star Air,XX,7,July,Q3,2024,293,1196969.888645,1109568.5565066,71818.1933187,15583.138818,131668.64520447,4085.22,13
DXB-SIN,Star Air,XX,7,July,Q3,2024,897,1105441.0,1023930.54,66326.46,15184.0,127469.55,1232.38,14
DXB-DFW,Star Air,XX,7,July,Q3,2024,267,1029374.0,954627.56,61762.44,12984.0,100758.1,3855.33,15
ORD-DXB,Star Air,XX,7,July,Q3,2024,315,1017874.432798,944544.2437352,61072.46596788,12257.723093,109551.84430937,3231.35,16
DXB-IAH,Star Air,XX,7,July,Q3,2024,321,1004239.0,926660.66,60254.34,17324.0,99121.65,3128.47,17
MIL-DXB,Star Air,XX,7,July,Q3,2024,723,885614.644771,818041.5383639,53136.87868626,14436.22772,80006.8458756,1224.92,18
IAH-DXB,Star Air,XX,7,July,Q3,2024,280,856408.839604,792307.5754967,51384.53037624,12716.733729,87171.34454679,3058.6,19
DXB-MIL,Star Air,XX,7,July,Q3,2024,755,845216.0,781671.04,50712.96,12832.0,75255.5,1119.49,20
CPT-DXB,Star Air,XX,7,July,Q3,2024,371,780627.569644,722003.5431056,46837.65417864,11786.372361,75099.62113267,2104.12,21
DXB-CPT,Star Air,XX,7,July,Q3,2024,376,767181.0,710710.14,46030.86,10440.0,77538.28,2040.38,22
DXB-CCU,Star Air,XX,7,July,Q3,2024,808,760427.0,701437.38,45625.62,13364.0,62981.86,941.12,23
COK-DXB,Star Air,XX,7,July,Q3,2024,933,720143.38339,665926.3144768,43208.6030034,11008.46591,73255.29400816,771.86,24
DXB-JFK,Star Air,XX,7,July,Q3,2024,191,667714.0,617508.16,40062.84,10143.0,66316.44,3495.88,25
LHE-DXB,Star Air,XX,7,July,Q3,2024,806,661090.110585,611869.1435869,39665.4066351,9555.560363,59700.86326885,820.21,26
CCU-DXB,Star Air,XX,7,July,Q3,2024,693,648146.057646,597795.5324801,38888.76345876,11461.761706,54316.34730804,935.28,27
DXB-YYZ,Star Air,XX,7,July,Q3,2024,162,613491.0,570816.54,36809.46,5865.0,67483.83,3786.98,28
DXB-COK,Star Air,XX,7,July,Q3,2024,762,598911.0,555406.34,35934.66,7570.0,58724.67,785.97,29
ZRH-DXB,Star Air,XX,7,July,Q3,2024,217,585372.462707,540696.344492,35122.34776242,9553.770455,46283.88357434,2697.57,30
DXB-LHR,Star Air,XX,7,July,Q3,2024,407,585063.0,538990.22,35103.78,10969.0,45638.35,1437.5,31
MRU-DXB,Star Air,XX,7,July,Q3,2024,327,582911.572218,536138.7129175,34974.69433308,11798.164968,56728.83175446,1782.6,32
DXB-MRU,Star Air,XX,7,July,Q3,2024,289,549100.0,506752.0,32946.0,9402.0,47206.53,1900.0,33
DFW-DXB,Star Air,XX,7,July,Q3,2024,147,539674.816519,497535.2651949,32380.48899114,9759.06233,53789.21530551,3671.26,34
DXB-LHE,Star Air,XX,7,July,Q3,2024,589,511460.0,471034.4,30687.6,9738.0,45415.35,868.35,35
AKL-DXB,Star Air,XX,7,July,Q3,2024,235,509833.711882,470036.6970642,30590.02271292,9206.992104,75860.20773499,2169.51,36
PEW-DXB,Star Air,XX,7,July,Q3,2024,384,504518.659075,466396.8627306,30271.1195445,7850.676801,38012.63987371,1313.85,37
DXB-CDG,Star Air,XX,7,July,Q3,2024,211,502680.0,466836.2,30160.8,5683.0,48313.69,2382.37,38
MEL-SIN,Star Air,XX,7,July,Q3,2024,117,437392.409891,404861.288118,26243.54459346,6287.57718,78730.74174742,3738.4,39
CHC-DXB,Star Air,XX,7,July,Q3,2024,421,400325.930562,368902.2168003,24019.55583372,7404.157927,64158.409246,950.89,40
LHR-DXB,Star Air,XX,7,July,Q3,2024,271,377440.58883,347453.5326269,22646.4353298,7340.620874,29422.41247319,1392.77,41
