Flight_no,Flight_Date,day_of_week,is_weekend,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Origin_Airport_Code,Origin_Airport_Name,Destination_Airport_Code,Destination_Airport_Name,Route,Flight_Status,Tail_no,First_Class_Seats,Business_Class_Seats,Economy_Class_Seats,Total_Seats,Flown_Coupon_Count,Passenger_Count,Route_Traffic,Daily_Flight_Volume,Flight_Load_Factor_Pct
696,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,Active,C-F6164,15.0,22.0,294.0,331.0,256,256,256,25,77.34
270,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,,,,,,,241,241,241,25,
559,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,LHE,Allama Iqbal International Airport,DXB,Dubai International Airport,LHE-DXB,,,,,,,259,259,515,25,
276,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,PEW,Bacha Khan International Airport,DXB-PEW,Active,C-F8901,10.0,35.0,292.0,337.0,238,238,238,25,70.62
867,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MIL,Milan–Malpensa Airport,DXB-MIL,,,,,,,257,257,502,25,
405,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,,,,,,,242,242,242,25,
333,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,CCU,Netaji Subhas Chandra Bose International Airport,DXB-CCU,Active,VT6909,10.0,21.0,299.0,330.0,254,254,254,25,76.97
667,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,CPT,Cape Town International Airport,DXB-CPT,Active,A61460,13.0,22.0,294.0,329.0,254,254,254,25,77.2
574,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,LGW,London Gatwick Airport,DXB-LGW,Active,C-F1968,7.0,27.0,293.0,327.0,258,258,258,25,78.9
453,2025-03-12,Wednesday,False,March,Q1,2025,Star Air,XX,DXB,Dubai International Airport,MUC,Munich Airport (MUC),DXB-MUC,Active,VT6935,8.0,22.0,292.0,322.0,255,255,255,25,79.19
