Billed_Date,month_name,quarter_label,year,Billed_Carrier_Name,Billed_Carrier_Code,Operating_Carrier_Name,Operating_Carrier_Code,Billed_Currency,Ticket_Count,Billed_Amount,Commission_Amount,Billed_Discount,Accepted_Amount,Accepted_Commission,Accepted_Discount,Rejected_Amount,Rejected_Commission,Rejected_Discount,Rejection_Percentage,Billing_Efficiency_Pct
2025-02-04,February,Q1,2025,Air New Zealand,NZ,Star Air,XX,USD,500,243370.0,14602.2,2770.0,206867.32,12412.2,2410.12,36502.68,2190.0,359.88,15.0,85.0
2025-02-04,February,Q1,2025,Qantas,QF,Star Air,XX,USD,254,129935.0,7796.1,1545.0,110042.93,6602.66,1290.28,19892.07,1193.44,254.72,15.31,84.69
2025-02-04,February,Q1,2025,JetBlue,B6,Star Air,XX,USD,263,348825.0,20929.5,6270.0,295044.75,17702.67,5336.71,53780.25,3226.83,933.29,15.42,84.58
2025-01-17,January,Q1,2025,Qantas,QF,Star Air,XX,USD,773,412910.0,24774.6,4950.0,351139.23,21068.12,4200.24,61770.77,3706.48,749.76,14.96,85.04
2025-02-04,February,Q1,2025,Thai Airways International,TG,Star Air,XX,USD,257,152935.0,9176.1,1890.0,129040.85,7742.55,1603.21,23894.15,1433.55,286.79,15.62,84.38
2025-03-13,March,Q1,2025,Thai Airways International,TG,Star Air,XX,USD,252,160170.0,9610.2,2795.0,135302.29,8118.16,2386.84,24867.71,1492.04,408.16,15.53,84.47
2025-01-12,January,Q1,2025,Qantas,QF,Star Air,XX,USD,742,580770.0,34846.2,8080.0,490162.1,29409.89,6930.42,90607.9,5436.31,1149.58,15.6,84.4
2025-03-13,March,Q1,2025,Air France,AF,Star Air,XX,USD,261,229890.0,13793.4,2595.0,195397.02,11723.79,2165.65,34492.98,2069.61,429.35,15.0,85.0
2025-02-04,February,Q1,2025,Jet Airways,9W,Star Air,XX,USD,252,66280.0,3976.8,955.0,56006.13,3360.25,817.94,10273.87,616.55,137.06,15.5,84.5
2025-01-12,January,Q1,2025,Thai Airways International,TG,Star Air,XX,USD,253,153630.0,9217.8,2155.0,130931.06,7855.84,1860.02,22698.94,1361.96,294.98,14.78,85.22
