Sale_Date,month_name,quarter_label,year,Carrier_Number,Carrier_Name,Carrier_Code,Origin_Airport_Code,Origin_Airport_Name,Destination_Airport_Code,Destination_Airport_Name,Route,Agent_Code,Agent_Name,Agent_Location_Type,Booking_Class_Code,Booking_Class_Description,Class_of_Travel,Original_Currency,Total_Tickets_Sold,Gross_Fare_AED,Net_Fare_AED,Total_Tax_AED,Commission_Amount_AED,Discount_Amount_AED,Avg_Ticket_Value_AED
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,Y,Economy,Y,AUD,41,65666.924232,61095.3981057,11835.75773614,3940.01545392,631.510672,1601.63
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560237,"GM Tour & Travel Co., Ltd.",BSP,S,Economy,Y,THB,5,8887.389859,8354.1464675,1705.10320847,533.24339154,0.0,1777.48
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911193,Helloworld Travel,GSA,N,Economy,Y,AUD,43,68666.599924,63757.215588,12389.14442662,4119.99599544,789.38834,1596.9
2024-09-30,September,Q3,2024,888,Star Air,XX,CPT,Cape Town International Airport,DXB,Dubai International Airport,CPT-DXB,8657349,Sure Travel,GSA,H,Economy,Y,ZAR,5,10040.189418,9236.8974949,1024.15391238,602.41136508,200.880558,2008.04
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367302,Amazing Traveling,GSA,N,Economy,Y,INR,11,8437.841322,7854.9583727,697.78502874,506.27047932,76.61247,767.08
2024-09-30,September,Q3,2024,888,Star Air,XX,BOM,Chhatrapati Shivaji Maharaj International Airport,DXB,Dubai International Airport,BOM-DXB,9350174,Arago Travels,BSP,Q,Economy,Y,INR,2,1641.394086,1542.9104409,180.55334946,98.48364516,0.0,820.7
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560237,"GM Tour & Travel Co., Ltd.",BSP,Q,Economy,Y,THB,8,14180.531953,12976.6524098,2816.59552544,850.83191718,353.047626,1772.57
2024-09-30,September,Q3,2024,888,Star Air,XX,LGW,London Gatwick Airport,DXB,Dubai International Airport,LGW-DXB,9367301,Unimoni Travel Agency Cochin – Airport,GSA,B,Economy,Y,GBP,1,704.501195,662.2311233,70.4501195,42.2700717,0.0,704.5
2024-09-30,September,Q3,2024,888,Star Air,XX,HAN,Noi Bai International Airport,DXB,Dubai International Airport,HAN-DXB,9762245,Buffalo Tours,BSP,B,Economy,Y,VND,1,1347.218997,1266.3858572,215.55503952,80.83313982,0.0,1347.22
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,B,Economy,Y,INR,4,3654.527154,3435.2555247,309.31711854,219.27162924,0.0,913.63
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,M,Economy,Y,INR,13,11821.775928,11017.3890285,919.15687314,709.30655568,95.080344,909.37
2024-09-30,September,Q3,2024,888,Star Air,XX,CHC,Christchurch Airport,DXB,Dubai International Airport,CHC-DXB,4768305,Holland Clarke & Beatson Travel,GSA,S,Economy,Y,NZD,5,4412.242998,4147.5084181,652.76706969,264.73457988,0.0,882.45
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367302,Amazing Traveling,GSA,K,Economy,Y,INR,6,4598.860098,4246.4058901,414.01333854,275.93160588,76.522602,766.48
2024-09-30,September,Q3,2024,888,Star Air,XX,BNE,Brisbane Airport (BNE),DXB,Dubai International Airport,BNE-DXB,6911192,Flight Centre,BSP,G,Economy,Y,AUD,36,57447.09984,53684.5185133,10390.28582904,3446.8259904,315.755336,1595.75
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560236,FCM Travel Thailand,BSP,K,Economy,Y,THB,10,17681.641167,16268.1237869,3447.5411498,1060.89847002,352.61891,1768.16
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369311,Innovative Vacations,BSP,V,Economy,Y,INR,7,6308.913336,5840.2409319,459.8882565,378.53480016,90.137604,901.27
2024-09-30,September,Q3,2024,888,Star Air,XX,CCU,Netaji Subhas Chandra Bose International Airport,DXB,Dubai International Airport,CCU-DXB,9369309,Adrija Travels,BSP,G,Economy,Y,INR,9,8147.028474,7477.7068876,588.12180438,488.82170844,180.499878,905.23
2024-09-30,September,Q3,2024,888,Star Air,XX,COK,Cochin International Airport,DXB,Dubai International Airport,COK-DXB,9367300,Guiders Mission Tours and Travels,GSA,Y,Economy,Y,INR,6,4611.082146,4257.6250112,369.1395501,276.66492876,76.792206,768.51
2024-09-30,September,Q3,2024,888,Star Air,XX,BKK,Suvarnabhumi Airport,DXB,Dubai International Airport,BKK-DXB,9560237,"GM Tour & Travel Co., Ltd.",BSP,N,Economy,Y,THB,14,24935.087171,23262.6724857,5112.85093915,1496.10523026,176.309455,1781.08
