Flight_Date,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Flight_no,Route,Origin_Airport_Name,Destination_Airport_Name,Flight_Details_Flag,Flight_Status,Carrier_Type,Passenger_Count,Coupon_Count,First_Class_Seats,Business_Class_Seats,Economy_Class_Seats,Total_Seats,Load_Factor_Pct,Starair_Revenue_AED,Starair_Net_Revenue_AED,Starair_Commission_AED,Starair_Discount_AED,Starair_Tax_AED,Starair_Tickets_Sold,Inward_Billed_Amount,Inward_Billed_Commission,Inward_Accepted_Amount,Inward_Accepted_Commission,Inward_Rejected_Amount,Inward_Rejected_Commission,Inward_Ticket_Count,Inward_Acceptance_Rate_Pct,Settlement_Sale_Value,Settlement_Billing_Value,Settlement_Invoice_Count,Settlement_Ticket_Count,Settlement_Variance
2025-03-25,March,Q1,2025,Star Air,XX,760,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,257,257,null,null,null,0,null,null,null,null,null,null,null,1502490.00,90149.40,1271991.80,76319.53,230498.21,13829.87,2985,84.66,254196148.00,254196148.00,1463,2657,0.00
2025-02-28,February,Q1,2025,Star Air,XX,895,DXB-JFK,Dubai International Airport,John F. Kennedy International Airport (JFK),Available,Active,Star Air,255,255,6,28,296,330,77.27,991494.00000000,920208.3600000,59489.64000000,11796.00000000,79318.76000000,255,641365.00,38481.90,541852.99,32511.19,99512.01,5970.71,1541,84.48,112788549.00,112788549.00,1550,2858,0.00
2025-03-25,March,Q1,2025,Star Air,XX,181,DXB-ZRH,Dubai International Airport,Zurich Airport (ZRH),Not Available,null,Star Air,233,233,null,null,null,0,null,null,null,null,null,null,null,1502490.00,90149.40,1271991.80,76319.53,230498.21,13829.87,2985,84.66,254196148.00,254196148.00,1463,2657,0.00
2025-03-04,March,Q1,2025,Star Air,XX,817,DXB-SIN,Dubai International Airport,Singapore Changi Airport (SIN),Not Available,null,Star Air,253,253,null,null,null,0,null,null,null,null,null,null,null,966960.00,58017.60,816997.68,49019.88,149962.32,8997.72,1957,84.49,140673927.00,140673927.00,1527,2887,0.00
2025-08-31,August,Q3,2025,Star Air,XX,735,DXB-JNB,Dubai International Airport,Tambo International Airport,Available,Active,Star Air,246,246,6,28,298,332,74.10,234111.00000000,215675.3400000,14046.66000000,4389.00000000,14046.05000000,246,1463170.00,87790.20,1233925.49,74035.59,229244.51,13754.61,1934,84.33,480451904.00,480451904.00,3217,9961,0.00
2026-01-27,January,Q1,2026,Star Air,XX,818,CCU-DXB,Netaji Subhas Chandra Bose International Airport,Dubai International Airport,Not Available,null,Star Air,260,260,null,null,null,0,null,null,null,null,null,null,null,886635.00,53198.10,751843.85,45110.66,134791.15,8087.44,1971,84.80,49200972.00,49200972.00,989,1496,0.00
2026-02-26,February,Q1,2026,Star Air,XX,719,DXB-BOM,Dubai International Airport,Chhatrapati Shivaji Maharaj International Airport,Not Available,null,Star Air,240,240,null,null,null,0,null,null,null,null,null,null,null,1323250.00,79395.00,1118946.34,67136.58,204303.67,12258.42,2424,84.56,61987680.00,61987680.00,918,1419,0.00
2025-01-21,January,Q1,2025,Star Air,XX,796,MAA-DXB,Chennai International Airport,Dubai International Airport,Not Available,null,Star Air,262,262,null,null,null,0,null,null,null,null,null,null,null,1085915.00,65154.90,920153.09,55209.08,165761.92,9945.82,2043,84.74,262648667.00,262648667.00,1517,2791,0.00
2025-07-23,July,Q3,2025,Star Air,XX,876,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,249,249,null,null,null,0,null,null,null,null,null,null,null,1564875.00,93892.50,1324143.87,79448.74,240731.13,14443.76,1957,84.62,428373658.00,428373658.00,3171,9796,0.00
2025-08-23,August,Q3,2025,Star Air,XX,952,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,258,258,null,null,null,0,null,null,null,null,null,null,null,1084425.00,65065.50,914777.87,54886.35,169647.15,10179.15,1921,84.36,794611879.00,794611879.00,3189,9649,0.00
2025-09-06,September,Q3,2025,Star Air,XX,876,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,237,237,6,29,299,334,70.96,430450.92064400,396734.1422157,25827.05523864,7889.72318900,81787.71034713,237,1189985.00,71399.10,1008829.45,60529.58,181155.56,10869.52,2344,84.78,487289804.00,487289804.00,3213,10099,0.00
2026-02-06,February,Q1,2026,Star Air,XX,745,MEL-DXB,Melbourne Airport (MEL),Dubai International Airport,Available,Active,Star Air,254,254,11,22,298,331,76.74,868630.94726700,802387.9206898,52117.85683602,14125.16974100,156355.29626118,254,978445.00,58706.70,829116.57,49746.82,149328.43,8959.88,2151,84.74,81428859.00,81428859.00,970,1489,0.00
2025-02-01,February,Q1,2025,Star Air,XX,383,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,245,245,null,null,null,0,null,null,null,null,null,null,null,1736990.00,104219.40,1469058.96,88143.84,267931.04,16075.56,2557,84.57,176991042.00,176991042.00,1504,2823,0.00
2026-02-24,February,Q1,2026,Star Air,XX,748,YUL-DXB,Montréal–Trudeau International Airport,Dubai International Airport,Not Available,null,Star Air,253,253,null,null,null,0,null,null,null,null,null,null,null,781815.00,46908.90,661596.05,39695.85,120218.96,7213.05,1669,84.62,100530835.00,100530835.00,992,1442,0.00
2025-03-11,March,Q1,2025,Star Air,XX,796,MAA-DXB,Chennai International Airport,Dubai International Airport,Not Available,null,Star Air,260,260,null,null,null,0,null,null,null,null,null,null,null,765285.00,45917.10,648371.30,38902.14,116913.70,7014.96,2264,84.72,84954252.00,84954252.00,1479,2760,0.00
2025-07-12,July,Q3,2025,Star Air,XX,386,MIL-DXB,Milan–Malpensa Airport,Dubai International Airport,Not Available,null,Star Air,228,228,null,null,null,0,null,null,null,null,null,null,null,1729400.00,103764.00,1459598.15,87575.88,269801.86,16188.12,2417,84.40,393880708.00,393880708.00,3280,10051,0.00
2025-12-18,December,Q4,2025,Star Air,XX,772,MEL-DXB,Melbourne Airport (MEL),Dubai International Airport,Available,Active,Star Air,256,256,12,25,296,333,76.88,897841.73588700,813170.4943065,53870.50415322,30800.73742700,161609.26476840,256,745455.00,44727.30,629400.50,37763.94,116054.50,6963.36,1248,84.43,67511114.00,67511114.00,1143,1865,0.00
2026-01-26,January,Q1,2026,Star Air,XX,233,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,240,240,null,null,null,0,null,null,null,null,null,null,null,692565.00,41553.90,588086.13,35285.21,104478.87,6268.69,1468,84.91,72613839.00,72613839.00,1032,1598,0.00
2025-03-27,March,Q1,2025,Star Air,XX,106,DXB-COK,Dubai International Airport,Cochin International Airport,Not Available,null,Star Air,247,247,null,null,null,0,null,null,null,null,null,null,null,1082875.00,64972.50,917466.41,55047.97,165408.59,9924.53,1496,84.73,122340583.00,122340583.00,1491,2779,0.00
2025-03-30,March,Q1,2025,Star Air,XX,399,DXB-YUL,Dubai International Airport,Montréal–Trudeau International Airport,Available,Active,Star Air,215,215,16,38,300,354,60.73,197624.00000000,183101.5600000,11857.44000000,2665.00000000,19761.68000000,215,1404770.00,84286.20,1188414.00,71304.81,216356.00,12981.39,2649,84.60,314590588.00,314590588.00,1419,2610,0.00
2025-04-20,April,Q2,2025,Star Air,XX,597,DXB-SIN,Dubai International Airport,Singapore Changi Airport (SIN),Not Available,null,Star Air,234,234,null,null,null,0,null,null,null,null,null,null,null,1507575.00,90454.50,1276882.98,76032.77,230692.02,14421.73,1915,84.70,115298587.00,115298587.00,1349,2392,0.00
2025-09-14,September,Q3,2025,Star Air,XX,367,DXB-ZRH,Dubai International Airport,Zurich Airport (ZRH),Not Available,null,Star Air,244,244,null,null,null,0,null,null,null,null,null,null,null,1258040.00,75482.40,1064468.93,63868.07,193571.08,11614.33,2191,84.61,410202912.00,410202912.00,3246,10327,0.00
2026-03-07,March,Q1,2026,Star Air,XX,524,DXB-COK,Dubai International Airport,Cochin International Airport,Available,Active,Star Air,238,238,12,29,300,341,69.79,196615.00000000,181799.1000000,11796.90000000,3019.00000000,23593.74000000,238,1440305.00,86418.30,1213948.05,72836.81,226356.95,13581.49,2372,84.28,63579242.00,63579242.00,865,1291,0.00
2026-02-22,February,Q1,2026,Star Air,XX,436,DXB-MEL,Dubai International Airport,Melbourne Airport (MEL),Not Available,null,Star Air,248,248,null,null,null,0,null,null,null,null,null,null,null,2024180.00,121450.80,1714752.03,102885.34,309427.97,18565.46,2890,84.71,76625033.00,76625033.00,940,1421,0.00
2025-06-12,June,Q2,2025,Star Air,XX,592,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,244,244,null,null,null,0,null,null,null,null,null,null,null,1398180.00,83890.80,1190456.22,71425.20,207723.80,12465.60,2393,85.14,639893576.00,639893576.00,3504,12174,0.00
2025-05-16,May,Q2,2025,Star Air,XX,328,DXB-MIL,Dubai International Airport,Milan–Malpensa Airport,Available,Active,Star Air,220,220,6,39,294,339,64.90,339866.00000000,315209.0400000,20391.96000000,4265.00000000,27189.33000000,220,961835.00,57710.10,806402.46,48384.32,155432.54,9325.78,1722,83.84,692164464.00,692164464.00,3621,12877,0.00
2025-06-05,June,Q2,2025,Star Air,XX,640,SIN-DXB,Singapore Changi Airport (SIN),Dubai International Airport,Not Available,null,Star Air,241,241,null,null,null,0,null,null,null,null,null,null,null,2034190.00,122051.40,1721808.18,100901.15,312381.83,21150.25,2650,84.64,883416969.00,883416969.00,3692,13255,0.00
2025-11-03,November,Q4,2025,Star Air,XX,233,DXB-BNE,Dubai International Airport,Brisbane Airport (BNE),Not Available,null,Star Air,252,252,null,null,null,0,null,null,null,null,null,null,null,436685.00,26201.10,367771.39,22066.39,68913.62,4134.71,983,84.22,674738704.00,674738704.00,3755,14362,0.00
2026-03-05,March,Q1,2026,Star Air,XX,285,BNE-DXB,Brisbane Airport (BNE),Dubai International Airport,Available,Active,Star Air,251,251,10,30,295,335,74.93,407958.47257000,377047.3403459,24477.50835420,6433.62386700,77514.57655611,251,806125.00,48367.50,682630.50,40957.58,123494.50,7409.92,1704,84.68,56546456.00,56546456.00,874,1274,0.00
2026-01-13,January,Q1,2026,Star Air,XX,815,DXB-MRU,Dubai International Airport,Sir Seewoosagur Ramgoolam International Airport,Available,Active,Star Air,238,238,6,25,286,317,75.08,468821.00000000,434851.7400000,28129.26000000,5840.00000000,51570.35000000,238,1094965.00,65697.90,923068.06,55384.04,171896.94,10313.86,1934,84.30,81175627.00,81175627.00,981,1515,0.00
2026-02-21,February,Q1,2026,Star Air,XX,952,DXB-SYD,Dubai International Airport,Sydney Kingsford Smith Airport (SYD),Not Available,null,Star Air,243,243,null,null,null,0,null,null,null,null,null,null,null,1651260.00,99075.60,1400740.29,84044.19,250519.71,15031.41,2875,84.83,84133445.00,84133445.00,990,1459,0.00
2026-02-08,February,Q1,2026,Star Air,XX,422,YYZ-DXB,Toronto Pearson International Airport,Dubai International Airport,Available,Active,Star Air,251,251,16,32,297,345,72.75,959710.82476800,888300.3386447,57582.64948608,13827.83663700,105571.15090684,251,1578860.00,94731.60,1328710.25,79722.70,250149.75,15008.90,2181,84.16,29795209.00,29795209.00,953,1490,0.00
