Billed_Date,month_name,quarter_label,year,Billed_Carrier_Name,Billed_Carrier_Code,Operating_Carrier_Name,Operating_Carrier_Code,Billed_Currency,Ticket_Count,Billed_Amount,Commission_Amount,Billed_Discount,Accepted_Amount,Accepted_Commission,Accepted_Discount,Rejected_Amount,Rejected_Commission,Rejected_Discount,Rejection_Percentage,Billing_Efficiency_Pct
2026-02-28,February,Q1,2026,Air India,AI,Star Air,XX,USD,260,83820.00,5029.20,1440.00,70845.95,4250.73,1230.16,12974.05,778.47,209.84,15.48,84.52
2026-02-28,February,Q1,2026,Thai Airways International,TG,Star Air,XX,USD,243,143015.00,8580.90,1865.00,121630.87,7297.90,1546.47,21384.13,1283.00,318.53,14.95,85.05
2026-02-28,February,Q1,2026,British Airways,BA,Star Air,XX,USD,246,124175.00,7450.50,1715.00,105471.41,6328.24,1462.22,18703.59,1122.26,252.78,15.06,84.94
2026-02-28,February,Q1,2026,Jet Airways,9W,Star Air,XX,USD,232,58650.00,3519.00,1040.00,49698.28,2981.90,919.91,8951.72,537.10,120.09,15.26,84.74
2026-02-28,February,Q1,2026,American Airlines,AA,Star Air,XX,USD,253,253420.00,15205.20,3405.00,216428.29,12985.71,2878.38,36991.71,2219.49,526.62,14.60,85.40
2026-02-28,February,Q1,2026,Air Canada,AC,Star Air,XX,USD,244,70125.00,4207.50,960.00,59161.33,3549.65,826.21,10963.67,657.85,133.79,15.63,84.37
2026-02-28,February,Q1,2026,SIA,SQ,Star Air,XX,USD,265,109630.00,6577.80,2065.00,92271.65,5536.34,1755.88,17358.35,1041.46,309.12,15.83,84.17
2025-12-11,December,Q4,2025,Air India,AI,Star Air,XX,USD,246,64380.00,3862.80,13165.00,55003.51,3300.22,759.55,9376.49,562.58,12405.45,14.56,85.44
2025-12-11,December,Q4,2025,Air Mauritius,MK,Star Air,XX,USD,249,158900.00,9534.00,930.00,135471.48,8128.26,1377.75,23428.52,1405.74,-447.75,14.74,85.26
2025-12-11,December,Q4,2025,Qantas,QF,Star Air,XX,USD,482,423410.00,25404.60,10590.00,358121.76,21487.37,5726.08,65288.24,3917.23,4863.92,15.42,84.58
2025-12-11,December,Q4,2025,American Airlines,AA,Star Air,XX,USD,238,228350.00,13701.00,7930.00,194318.79,11659.07,2832.85,34031.21,2041.93,5097.15,14.90,85.10
2025-12-11,December,Q4,2025,Emirates,EK,Star Air,XX,USD,485,134190.00,8051.40,3255.00,113343.86,6800.57,1572.52,20846.14,1250.83,1682.48,15.53,84.47
2026-02-27,February,Q1,2026,Air New Zealand,NZ,Star Air,XX,USD,260,176170.00,10570.20,2530.00,148449.97,8907.07,2113.48,27720.03,1663.13,416.52,15.73,84.27
2026-02-27,February,Q1,2026,Qantas,QF,Star Air,XX,USD,516,270695.00,16241.70,3950.00,228968.36,13738.19,3283.42,41726.64,2503.51,666.58,15.41,84.59
2026-02-27,February,Q1,2026,PIA,PK,Star Air,XX,USD,246,75135.00,4508.10,1345.00,63342.99,3800.59,1139.08,11792.01,707.51,205.92,15.69,84.31
2026-02-27,February,Q1,2026,Jet Airways,9W,Star Air,XX,USD,248,65980.00,3958.80,925.00,56006.31,3360.45,787.83,9973.69,598.35,137.17,15.12,84.88
2025-01-10,January,Q1,2025,Qantas,QF,Star Air,XX,USD,262,146465.00,8787.90,2400.00,123390.76,7403.36,2026.62,23074.24,1384.54,373.38,15.75,84.25
2025-01-11,January,Q1,2025,Air India,AI,Star Air,XX,USD,242,76445.00,4586.70,1025.00,65648.55,3938.96,882.67,10796.45,647.74,142.33,14.12,85.88
2025-02-16,February,Q1,2025,American Airlines,AA,Star Air,XX,USD,480,485055.00,29103.30,8680.00,410711.84,24642.66,7382.75,74343.16,4460.64,1297.25,15.33,84.67
2025-01-10,January,Q1,2025,Air New Zealand,NZ,Star Air,XX,USD,263,81090.00,4865.40,1565.00,67858.70,4071.52,1297.18,13231.30,793.88,267.82,16.32,83.68
2025-02-16,February,Q1,2025,Qantas,QF,Star Air,XX,USD,1017,950870.00,57052.20,14570.00,804053.87,48243.32,12360.41,146816.13,8808.88,2209.59,15.44,84.56
2025-01-11,January,Q1,2025,PIA,PK,Star Air,XX,USD,229,66915.00,4014.90,1050.00,57057.17,3423.35,905.98,9857.83,591.55,144.02,14.73,85.27
2025-01-10,January,Q1,2025,Thai Airways International,TG,Star Air,XX,USD,259,154470.00,9268.20,1810.00,131130.99,7867.86,1510.14,23339.01,1400.34,299.86,15.11,84.89
2025-01-10,January,Q1,2025,Jet Airways,9W,Star Air,XX,USD,259,74570.00,4474.20,1385.00,64009.73,3840.58,1190.45,10560.27,633.62,194.55,14.16,85.84
