Revenue_Date,month_name,month_num,quarter_label,year,Carrier_Code,Route,Inward_Available_Flag,Ticket_Amount_AED,Tax_AED,Agent_Commission_AED,Discount_AED,Inward_Billed_Amount,Inward_Commission_Received,Revenue_Per_Ticket_AED,Ticket_Count
2024-07-05,July,7,Q3,2024,888,BKK-DXB,No,1813.62084,380.8548699,108.8172504,0.0,0.0,0.0,1323.94872,1
2024-07-05,July,7,Q3,2024,888,BKK-DXB,Yes,12690.39003,2664.9719946,761.4234018,362.76822,4010.0,240.6,5131.826414,7
2024-07-05,July,7,Q3,2024,888,BNE-DXB,No,4502.185429,870.33428531,270.13112574,0.0,0.0,0.0,3361.720018,3
2024-07-05,July,7,Q3,2024,888,CHC-DXB,No,1694.796688,288.23535182,101.68780128,0.0,0.0,0.0,1304.873535,2
2024-07-05,July,7,Q3,2024,888,DXB-BHX,No,742.0,74.24,44.52,0.0,0.0,0.0,623.24,1
2024-07-05,July,7,Q3,2024,888,DXB-BNE,No,6120.0,1147.4299999999998,367.2,0.0,0.0,0.0,4605.37,4
2024-07-05,July,7,Q3,2024,888,DXB-CCU,No,2627.0,288.97,157.62,0.0,0.0,0.0,2180.41,3
2024-07-05,July,7,Q3,2024,888,DXB-CCU,Yes,2629.0,210.39999999999998,157.74,0.0,790.0,47.4,1518.26,3
2024-07-05,July,7,Q3,2024,888,DXB-GVA,No,1969.0,216.63,118.14,197.0,0.0,0.0,1437.23,1
2024-07-05,July,7,Q3,2024,888,DXB-IAH,No,2843.0,312.7,170.58,0.0,0.0,0.0,2359.72,1
2024-07-05,July,7,Q3,2024,888,DXB-KHI,No,3152.0,315.24,189.12,158.0,0.0,0.0,2489.6400000000003,4
2024-07-05,July,7,Q3,2024,888,DXB-LHR,Yes,2628.0,131.41,157.68,0.0,750.0,45.0,1633.9099999999999,2
2024-07-05,July,7,Q3,2024,888,DXB-MAA,No,5211.0,573.36,312.66,74.0,0.0,0.0,4250.98,7
2024-07-05,July,7,Q3,2024,888,DXB-MEL,No,6553.0,1179.69,393.18,0.0,0.0,0.0,4980.13,2
2024-07-05,July,7,Q3,2024,888,DXB-MEL,Yes,9826.0,1768.7200000000003,589.56,327.0,2960.0,177.6,4358.32,3
2024-07-05,July,7,Q3,2024,888,DXB-MIL,No,5033.0,422.74,301.98,0.0,0.0,0.0,4308.28,5
2024-07-05,July,7,Q3,2024,888,DXB-ORD,No,8524.0,909.15,511.44000000000005,0.0,0.0,0.0,7103.41,3
2024-07-05,July,7,Q3,2024,888,DXB-SYD,No,10492.0,1972.42,629.52,0.0,0.0,0.0,7890.0599999999995,5
2024-07-05,July,7,Q3,2024,888,DXB-YUL,Yes,786.0,86.5,47.16,0.0,235.0,14.1,431.44,1
2024-07-05,July,7,Q3,2024,888,LHE-DXB,No,1548.238602,77.41244746000001,92.89431612,0.0,0.0,0.0,1377.9318389999999,2
2024-07-05,July,7,Q3,2024,888,LHE-DXB,Yes,3093.7998660000003,247.50411861999999,185.62799196,232.023026,950.0,57.0,1535.644731,4
2024-07-05,July,7,Q3,2024,888,LHR-DXB,Yes,5305.665856,584.2041564799999,318.33995136,0.0,1765.0,105.9,2744.0217470000002,4
2024-07-05,July,7,Q3,2024,888,SIN-DXB,No,3375.4777249999997,405.14350941,202.5286635,112.037133,0.0,0.0,2655.768419,3
2024-07-05,July,7,Q3,2024,888,SYD-DXB,Yes,4117.177589,617.3119454600001,247.03065534,411.477129,1475.0,88.5,1454.85786,2
2024-07-05,July,7,Q3,2024,888,YUL-DXB,No,2463.361215,262.9063128,147.8016729,166.2561,0.0,0.0,1886.397129,3
2024-07-05,July,7,Q3,2024,888,YUL-DXB,Yes,4109.296605,410.92966049999995,246.5577963,83.12805,1285.0,77.1,2160.781099,5
2024-07-05,July,7,Q3,2024,888,YYZ-DXB,No,17999.993759999998,1980.19327905,1079.9996256,0.0,0.0,0.0,14939.800855,5
2024-07-06,July,7,Q3,2024,888,AKL-DXB,No,9539.227113,1335.69165392,572.35362678,189.865195,0.0,0.0,7441.316637,5
2024-07-06,July,7,Q3,2024,888,BKK-DXB,No,1815.05253,381.15993,108.9031518,0.0,0.0,0.0,1324.989448,1
2024-07-06,July,7,Q3,2024,888,BKK-DXB,Yes,3629.0037599999996,762.0907896,217.7402256,0.0,1050.0,63.0,1662.1727449999998,2
2024-07-06,July,7,Q3,2024,888,BNE-DXB,No,15003.274265,2910.03363266,900.1964558999999,149.190538,0.0,0.0,11043.853639,10
2024-07-06,July,7,Q3,2024,888,CCU-DXB,No,2685.283347,187.96983429,161.11700082,0.0,0.0,0.0,2336.196513,3
2024-07-06,July,7,Q3,2024,888,CHC-DXB,No,847.398344,143.95778943,50.84390064,0.0,0.0,0.0,652.596654,1
