Settlement_Date,month_name,quarter_label,year,Carrier_Name,Carrier_Code,Currency,Sales_Value,Sales_Commission,Sales_Discount,Sales_Tax,Sales_Ticket_Count,Billing_Value,Billing_Commission,Billing_Discount,Billing_Ticket_Count,Settlement_Value,Settlement_Commission,Settlement_Discount,Rejected_Value,Rejected_Commission,Settlement_Diff,Settlement_Diff_Pct,FX_Variance,Acceptance_Rate_Pct
2025-01-22,January,Q1,2025,Star Air,XX,USD,126313.00,7578.78,1210.00,13412.08,126,812405.00,48744.30,11820.00,1465,687408.97,41244.61,10084.33,124996.03,7499.69,124996.03,15.39,-686092.00,84.61
2025-12-02,December,Q4,2025,Star Air,XX,USD,56049.00,3362.94,504.00,5791.53,62,939840.00,56390.40,19800.00,1989,797797.42,47867.85,11051.18,142042.58,8522.55,142042.58,15.11,-883791.00,84.89
2025-03-08,March,Q1,2025,Star Air,XX,USD,118902.00,7134.12,1039.00,12502.20,89,1143860.00,68631.60,18250.00,2652,972242.10,58334.47,15601.09,171617.90,10297.13,171617.90,15.00,-1024958.00,85.00
2025-05-09,May,Q2,2025,Star Air,XX,USD,465829.00,27949.74,8607.00,48341.77,462,588215.00,35292.90,10785.00,1474,498292.76,29897.75,9142.77,89922.24,5395.15,89922.24,15.29,-122386.00,84.71
2025-05-19,May,Q2,2025,Star Air,XX,USD,462717.00,27763.02,9314.00,49069.64,427,327030.00,19621.80,5710.00,705,277962.66,16677.81,4895.81,49067.34,2943.99,49067.34,15.00,135687.00,85.00
2025-09-05,September,Q3,2025,Star Air,XX,USD,578072.00,34684.32,14132.00,60234.89,610,1019480.00,61168.80,17485.00,2183,861182.81,51670.66,14675.75,158297.21,9498.14,158297.19,15.53,-441408.00,84.47
2025-08-30,August,Q3,2025,Star Air,XX,USD,463299.00,27797.94,10666.00,48178.86,500,697770.00,41866.20,9875.00,1253,594493.90,35669.76,8489.23,103276.12,6196.44,103276.10,14.80,-234471.00,85.20
2025-11-13,November,Q4,2025,Star Air,XX,USD,84587.00,5075.22,2439.00,8812.28,77,1305540.00,78332.40,29300.00,2218,1105770.78,66346.28,15008.33,199769.22,11986.12,199769.22,15.30,-1220953.00,84.70
2025-02-15,February,Q1,2025,Star Air,XX,USD,118722.00,7123.32,1594.00,12383.11,108,1049195.00,62951.70,19070.00,1897,881034.88,52862.02,16088.37,168160.12,10089.68,168160.12,16.03,-930473.00,83.97
2025-05-03,May,Q2,2025,Star Air,XX,USD,441940.00,26516.40,6248.00,45786.14,447,921550.00,55293.00,13930.00,1714,780766.94,46059.21,11729.50,140783.06,9233.79,140783.06,15.28,-479610.00,84.72
2025-07-29,July,Q3,2025,Star Air,XX,USD,443025.00,26581.50,11361.00,46083.99,450,1031625.00,61897.50,17070.00,2209,872374.27,52342.49,14606.53,159250.73,9555.01,159250.73,15.44,-588600.00,84.56
2025-09-25,September,Q3,2025,Star Air,XX,USD,640470.00,38428.20,13745.00,66834.01,697,1580105.00,94806.30,22475.00,2448,1334303.27,80058.24,19152.44,245801.73,14748.06,245801.73,15.56,-939635.00,84.44
2025-12-16,December,Q4,2025,Star Air,XX,USD,60458.00,3627.48,1925.00,6141.94,62,844805.00,50688.30,19555.00,1688,711852.13,42711.07,10651.17,132952.87,7977.23,132952.87,15.74,-784347.00,84.26
2025-10-22,October,Q4,2025,Star Air,XX,USD,73759.00,4425.54,2082.00,7550.44,85,1310250.00,78615.00,26885.00,1953,1110379.02,66622.68,16300.67,199870.98,11992.32,199870.98,15.25,-1236491.00,84.75
2026-03-28,March,Q1,2026,Star Air,XX,USD,3525.00,211.50,0.00,324.94,3,1870505.00,112230.30,25750.00,2890,1577774.36,94666.52,21660.24,292730.64,17563.78,292730.64,15.65,-1866980.00,84.35
2026-02-15,February,Q1,2026,Star Air,XX,USD,37578.00,2254.68,646.00,3798.80,40,923785.00,55427.10,12815.00,1445,784274.92,47056.38,10973.14,139510.08,8370.72,139510.08,15.10,-886207.00,84.90
2025-10-25,October,Q4,2025,Star Air,XX,USD,73339.00,4400.34,2455.00,7724.12,79,1670380.00,100222.80,46015.00,2393,1408980.78,84539.13,24967.40,261399.22,15683.67,261399.22,15.65,-1597041.00,84.35
2025-03-05,March,Q1,2025,Star Air,XX,USD,103361.00,6201.66,1098.00,10793.30,102,1484115.00,89046.90,21005.00,2036,1254983.78,75298.87,17762.18,229131.22,13748.03,229131.22,15.44,-1380754.00,84.56
2025-01-12,January,Q1,2025,Star Air,XX,USD,99271.00,5956.26,1918.00,10489.27,103,1159370.00,69562.20,15905.00,1765,979170.12,58750.41,13619.68,180199.88,10811.79,180199.88,15.54,-1060099.00,84.46
2025-04-30,April,Q2,2025,Star Air,XX,USD,510229.00,30613.74,7415.00,53117.99,500,1583975.00,95038.50,21390.00,1986,1330978.51,76189.32,18088.78,252996.49,18849.18,252996.49,15.97,-1073746.00,84.03
2025-06-30,June,Q2,2025,Star Air,XX,USD,415983.00,24958.98,11639.00,43462.05,409,453920.00,27235.20,6620.00,1237,384263.88,23104.19,5626.08,69656.13,4131.01,69656.12,15.35,-37937.00,84.65
2025-12-17,December,Q4,2025,Star Air,XX,USD,61209.00,3672.54,1116.00,6189.23,50,1599755.00,95985.30,45865.00,2435,1350873.30,81052.19,19516.49,248881.70,14933.11,248881.70,15.56,-1538546.00,84.44
2025-12-06,December,Q4,2025,Star Air,XX,USD,48662.00,2919.72,1342.00,5070.42,50,1112395.00,66743.70,47505.00,1979,943570.55,56614.19,12666.27,168824.46,10129.51,168824.45,15.18,-1063733.00,84.82
2025-01-21,January,Q1,2025,Star Air,XX,USD,121885.00,7313.10,2675.00,12317.71,124,1085915.00,65154.90,18145.00,2043,920153.09,55209.08,15350.13,165761.92,9945.82,165761.91,15.26,-964030.00,84.74
